,Train Data (%),MaxDepth,DecTestAcc,DecValAcc,DecF1Score
0,10,6,0.5055555555555555,0.5611111111111111,0.4824921267963672
1,20,6,0.7166666666666667,0.6888888888888889,0.7491438589482737
2,30,6,0.8055555555555556,0.7388888888888889,0.816281470950311
3,40,6,0.7444444444444445,0.7833333333333333,0.7642041470676321
4,50,6,0.7222222222222222,0.7944444444444444,0.7427177817466443
5,60,6,0.8388888888888889,0.8333333333333334,0.8490102666343698
6,70,6,0.7944444444444444,0.85,0.8060974460706267
7,80,6,0.7388888888888889,0.8166666666666667,0.759611092989749
8,90,6,0.7333333333333333,0.8,0.7334588561907076
9,100,6,0.7555555555555555,0.7833333333333333,0.7582982878466071
10,10,8,0.6,0.6444444444444445,0.628560777638582
11,20,8,0.7444444444444445,0.75,0.7485867832962445
12,30,8,0.8055555555555556,0.7833333333333333,0.8120343732921134
13,40,8,0.7888888888888889,0.8166666666666667,0.7928867880574706
14,50,8,0.8277777777777777,0.8055555555555556,0.8323369915068914
15,60,8,0.8388888888888889,0.8166666666666667,0.8487560891166204
16,70,8,0.85,0.8611111111111112,0.8582552604550452
17,80,8,0.85,0.8666666666666667,0.8505685417485027
18,90,8,0.8222222222222222,0.8666666666666667,0.8239268955328116
19,100,8,0.8388888888888889,0.9055555555555556,0.8443614715438261
20,10,10,0.5833333333333334,0.6055555555555555,0.5811297502205311
21,20,10,0.7611111111111111,0.7555555555555555,0.7666174464632141
22,30,10,0.8222222222222222,0.7833333333333333,0.8280294739136203
23,40,10,0.8277777777777777,0.8222222222222222,0.8318424879657776
24,50,10,0.85,0.8333333333333334,0.8536688191752452
25,60,10,0.8222222222222222,0.8055555555555556,0.8176810937960048
26,70,10,0.8222222222222222,0.8277777777777777,0.8274373322929549
27,80,10,0.8722222222222222,0.85,0.8758023884136552
28,90,10,0.8222222222222222,0.8555555555555555,0.8251578427750481
29,100,10,0.8611111111111112,0.9111111111111111,0.8641418027574215
30,10,12,0.6444444444444445,0.6166666666666667,0.6344767511504202
31,20,12,0.7555555555555555,0.7111111111111111,0.765533162136688
32,30,12,0.8055555555555556,0.8111111111111111,0.8102163032521524
33,40,12,0.7944444444444444,0.7666666666666667,0.7998061921508205
34,50,12,0.8222222222222222,0.8166666666666667,0.8286636115207543
35,60,12,0.8222222222222222,0.8222222222222222,0.8204281605491281
36,70,12,0.8166666666666667,0.8555555555555555,0.8215277768184744
37,80,12,0.8722222222222222,0.8611111111111112,0.8754281431351559
38,90,12,0.85,0.8611111111111112,0.8471314608986233
39,100,12,0.8388888888888889,0.9,0.8407827339278953
40,10,14,0.6277777777777778,0.6611111111111111,0.6296973450639727
41,20,14,0.7333333333333333,0.7333333333333333,0.7355003415600918
42,30,14,0.8166666666666667,0.7888888888888889,0.8238922363922365
43,40,14,0.8111111111111111,0.7666666666666667,0.8209088844406361
44,50,14,0.8444444444444444,0.85,0.8455032550600784
45,60,14,0.8111111111111111,0.8388888888888889,0.8171236381797258
46,70,14,0.8277777777777777,0.8444444444444444,0.8299285957171636
47,80,14,0.8777777777777778,0.8388888888888889,0.8731561523581984
48,90,14,0.8277777777777777,0.8777777777777778,0.8298663013338523
49,100,14,0.8222222222222222,0.9333333333333333,0.8223151366206126
50,10,16,0.65,0.6444444444444445,0.6458086856288425
51,20,16,0.7444444444444445,0.7611111111111111,0.7582596046548702
52,30,16,0.8111111111111111,0.7944444444444444,0.8150341583358662
53,40,16,0.8055555555555556,0.7722222222222223,0.8157806689927434
54,50,16,0.8555555555555555,0.8444444444444444,0.8540632812849145
55,60,16,0.8333333333333334,0.8,0.8271742364294825
56,70,16,0.8388888888888889,0.8555555555555555,0.8427456535326072
57,80,16,0.8555555555555555,0.8777777777777778,0.8567605754901676
58,90,16,0.8277777777777777,0.8666666666666667,0.8315969027054126
59,100,16,0.8666666666666667,0.9111111111111111,0.8631922286736865
